muon_pt,muon_eta,muon_phi,antimuon_pt,antimuon_eta,antimuon_phi,delta_eta,delta_phi,delta_R,label
53.47335,2.638676,2.0178084,38.30303,2.8539238,-0.9362274,0.21524787,2.954036,2.9618678,1
27.26995,0.10768919,-2.4914386,26.234827,2.1692948,0.596385,2.0616057,3.0878236,3.7127984,1
27.653555,-2.9035811,-1.2311562,37.958607,-4.1423464,1.5292372,1.2387652,2.7603934,3.0256093,0
31.492838,1.5145047,-3.1005392,69.856895,1.0660608,-0.4521442,0.4484439,2.648395,2.6860936,1
33.09909,-1.0163223,3.1174712,38.637913,-2.487878,0.13891405,1.4715558,2.9785569,3.3222399,1
38.934128,-0.6782091,2.0601783,44.776623,0.4286882,-1.78277,1.1068974,2.4402373,2.6795485,1
48.459293,-2.1557233,-1.321491,44.198437,-1.980595,1.9210919,0.17512834,3.040603,3.0456421,1
53.11688,1.7897205,-1.7168676,38.011707,2.820011,1.7982591,1.0302904,2.768059,2.9535823,0
95.43355,1.3949571,2.3373306,103.40481,2.305726,-1.1293402,0.910769,2.8165147,2.9601107,0
50.944057,-1.0600845,-2.7036314,31.669256,0.0024125269,0.31387994,1.062497,3.0175114,3.1991053,1
42.776394,1.8429542,0.70702505,51.459633,1.9138101,-2.5703511,0.070855975,3.005809,3.006644,1
45.466705,-1.5012416,0.745113,39.23052,-2.3704205,-2.803846,0.8691789,2.7342265,2.8690531,1
34.146732,-4.3874035,0.8011224,40.975647,-3.107963,-2.3610735,1.2794404,3.1209896,3.3730614,1
36.637135,-3.3539708,0.5437904,35.964333,-2.1066904,-2.6092687,1.2472804,3.1301262,3.3694804,1
25.067385,-2.3413076,-0.7706733,33.5695,-4.3372116,2.514099,1.995904,2.9984133,3.60196,1
30.061771,-1.0585816,-0.8415038,48.835766,0.06270102,2.4408503,1.1212826,3.0008314,3.2034767,1
40.805717,-0.30666873,0.5961888,49.969574,0.31329226,-1.7511247,0.619961,2.3473132,2.4278038,1
51.98404,2.233742,1.1466237,39.456898,2.450605,-1.7600633,0.21686292,2.906687,2.9147656,1
28.16645,2.1307082,-2.9342878,45.752533,3.4240863,0.41203678,1.2933781,2.9368613,3.2090468,1
31.884407,-2.7934942,2.6313329,25.807766,-4.8714876,-0.4158944,2.0779934,3.0472271,3.6883125,1
40.67119,-2.651719,-1.6588397,36.896873,-1.4217473,1.4039757,1.2299718,3.0628154,3.300556,1
73.873985,-2.489806,-2.0311913,31.51661,-2.4394526,1.8067244,0.05035329,2.4452698,2.4457881,1
43.587376,3.5169556,1.6255476,43.323246,3.2180846,-1.4780214,0.29887104,3.1035693,3.1179266,1
44.02002,-2.355576,1.6280881,45.964943,-1.881229,-1.4546416,0.474347,3.0827296,3.1190104,1
26.185274,4.7292824,-0.6003017,30.03132,2.5619588,2.4723191,2.1673236,3.0726209,3.7600918,1
30.842285,-1.8796542,0.6522155,38.266594,-2.864862,-2.279878,0.9852078,2.9320934,3.093187,0
37.28144,1.0202141,2.6272476,42.598354,-0.10593014,-0.87027055,1.1261442,2.7856677,3.004687,1
27.732855,0.8979584,2.2480822,26.758413,-1.4031556,-0.87380576,2.301114,3.121888,3.8783128,1
37.722927,1.9307894,-0.17033856,54.090298,2.1827958,2.8400757,0.2520064,3.0104144,3.0209439,1
40.309734,0.5060028,-2.274829,46.441265,-0.5411865,1.7306527,1.0471892,2.2777035,2.5068982,1
66.00302,1.4320803,-2.5116475,42.021378,1.2694651,0.44482982,0.16261518,2.9564772,2.9609458,0
66.33017,3.3055418,2.2507076,31.28833,2.8823755,-0.78036666,0.42316628,3.0310743,3.0604706,1
